################################################################################
IN SEQ: 	 b'how much is mel ##ani ##n worth in 2020 ?'
PRED SEQ:	 b'however , could pete butt ##ig ##ieg have gotten the democratic nomination in 2020 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.9962057, 0.99139684, 1.0313563e-05, 0.00030473038, 1.3913458e-05, 3.0534716e-06, 2.3141647e-06, 7.3584383e-06, 1.9426516e-05, 3.7205366e-05, 1.7853008e-06, 7.623092e-06, 2.160642e-06, 2.7737858e-06, 1.1951208e-05, 3.54843e-05]
GOLD TOK: 	 []
PRED TOK: 	 [['however']]
################################################################################
IN SEQ: 	 b"why isn ' t the u . s . government establishing a 9 / 11 - style commission to investigate the 2020 election results so that america can just put an end the skepticism that linger ##s about the results ?"
GOLD SEQ: 	 b"why isn ' t the u . s . government establishing a 9 / 11 - style commission to investigate the 2020 election results so that america can just put an end the skepticism that linger ##s about the results ?"
PRED SEQ:	 b"why isn ' t the u . s . government establishing a 9 / 11 - style commission to investigate the 2020 election results so that america can put an end the skepticism that linger ##s about the results ?"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.02242569, 5.778959e-05, 9.94409e-06, 2.369283e-05, 3.0535117e-05, 6.187288e-05, 9.11791e-06, 2.5613685e-05, 1.3292817e-05, 4.3669854e-05, 0.0006514405, 1.5501899e-05, 0.024090193, 0.005086413, 0.01997074, 0.05835132, 0.40113416, 0.0001984198, 2.0764764e-05, 9.6050186e-05, 4.0504707e-05, 0.00029458952, 2.6967502e-05, 2.2540973e-05, 0.005342166, 0.003198022, 0.026078962, 0.023106452, 0.38360435, 4.5898563e-05, 3.1162363e-05, 3.4104567e-05, 0.00014513462, 0.01592845, 0.007391051, 0.034064934, 0.01749175, 1.1347452e-05, 1.144783e-05, 5.9028083e-05, 0.00031085583]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'who would win in a theoretical presidential election , hunter bid ##en or donald trump jr . ?'
GOLD SEQ: 	 b'who would win in a theoretical presidential election , hunter bid ##en or donald trump jr . ?'
PRED SEQ:	 b'who would win in a presidential election , hunter bid ##en or donald trump jr . ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.003258896, 0.021004248, 0.00028695472, 1.0851854e-05, 0.000104076775, 0.933832, 7.531791e-05, 3.710548e-05, 8.223342e-06, 0.0004995122, 2.4685352e-05, 2.5528434e-05, 9.9634395e-05, 2.5266758e-05, 9.740434e-06, 2.0448379e-05, 1.1457813e-05, 0.0015627809]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'after the events of january 6th , 2021 which scenario do you find scar ##ier , trump runs again and wins or trump runs again and loses ?'
GOLD SEQ: 	 b'after the events of january 6th , 2021 which scenario do you find scar ##ier , trump runs again and wins or trump runs again and loses ?'
PRED SEQ:	 b'after the events of january 6th , 2021 which scenario do you find scar ##ier , trump runs again and wins or trump runs again and loses ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.01191944, 0.0057108006, 0.17431653, 0.00302679, 0.0013645503, 0.00088345393, 5.9366e-05, 0.0013808837, 0.008614774, 0.018329145, 0.0015979984, 0.12621929, 0.004130822, 0.46074656, 0.2922316, 0.00026451438, 0.025987802, 0.0050631943, 0.0016760818, 0.00032240732, 0.0021599147, 0.001724739, 0.01503986, 0.0029300048, 0.00129766, 0.0001449345, 0.00060575036, 0.0010097452]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what is vice president kamal ##a harris doing ?'
GOLD SEQ: 	 b'what is vice president kamal ##a harris doing ?'
PRED SEQ:	 b'what is vice president kamal ##a harris harris ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.036562294, 0.0046309307, 0.0037588011, 0.005316924, 0.0012350196, 0.0004288997, 0.000382001, 0.5901678, 0.030009225]
GOLD TOK: 	 []
PRED TOK: 	 [['harris']]
################################################################################
IN SEQ: 	 b'would trump have won if he will run against joe bid ##en in 202 ##4 ?'
GOLD SEQ: 	 b'would trump have won if he will run against joe bid ##en in 202 ##4 ?'
PRED SEQ:	 b'would have won if trump will run against joe bid ##en in 202 ##4 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.24851844, 0.07040967, 0.127703, 0.075848356, 0.0034012173, 0.056314245, 0.09042701, 0.01641788, 0.0013602205, 0.0049684485, 0.0001881435, 7.5761935e-05, 0.00044630276, 0.0060431813, 0.00033703362, 0.047520358]
GOLD TOK: 	 []
PRED TOK: 	 [['trump']]
################################################################################
IN SEQ: 	 b'how would you describe how the year 2020 has went so far ?'
GOLD SEQ: 	 b'how would you describe how the year 2020 has went so far ?'
PRED SEQ:	 b'how would you describe how the year 2020 has went so far ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.092332914, 0.015554735, 0.038526606, 0.025232695, 0.1779767, 0.00086301187, 0.028759098, 0.013411866, 0.15426317, 0.13882868, 0.03370405, 0.043758947, 0.007390984]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what is the best tablet to buy in 2020 ?'
GOLD SEQ: 	 b'what is the best tablet to buy in 2020 ?'
PRED SEQ:	 b'what is the most popular tablet to buy in 2020 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.07265542, 0.13872418, 0.01404559, 0.7090541, 0.031094361, 0.0014022599, 0.014329701, 0.003558361, 0.009165088, 0.010735932]
GOLD TOK: 	 []
PRED TOK: 	 [['most', 'popular']]
################################################################################
IN SEQ: 	 b'how many moons does venus have in 2020 ?'
GOLD SEQ: 	 b'how many moons does venus have in 2020 ?'
PRED SEQ:	 b'how many moons does venus have in 2020 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.1746036, 0.1377403, 0.04537519, 0.102829784, 0.11145717, 0.045388125, 0.011409299, 0.074804686, 0.114436105]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"president trump ' s 46 . 9 % of votes cast in the 2020 elections is worse than gerald ford ( 48 % ) and even mit ##t romney ( 47 . 2 % ) ."
GOLD SEQ: 	 b"president trump ' s 46 . 9 % of votes cast in the 2020 elections is worse than gerald ford ( 48 % ) and even mit ##t romney ( 47 . 2 % ) ."
PRED SEQ:	 b"president trump ' s 46 . 9 % of votes cast in the 2020 elections is worse than gerald ford ( 48 % ) and mit ##t romney ( 47 . 2 % ) ."
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.9224447e-06, 8.2615696e-07, 6.796003e-07, 7.50268e-07, 8.3156215e-07, 6.471293e-07, 8.7543714e-07, 6.9322033e-07, 6.575696e-07, 7.1906373e-07, 7.119848e-07, 6.4119746e-07, 6.8254326e-07, 8.226544e-07, 7.6929234e-07, 5.87626e-05, 0.03337873, 6.3709927e-06, 7.476859e-07, 6.594562e-07, 6.861197e-07, 8.321008e-07, 6.9667595e-07, 6.009149e-07, 1.4775565e-06, 0.9651124, 8.1335014e-07, 7.0312507e-07, 6.676612e-07, 6.97805e-07, 7.5007193e-07, 6.46036e-07, 8.571368e-07, 6.963717e-07, 6.148608e-07, 6.873758e-07]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'why is the go ##p bowing to him ?'
GOLD SEQ: 	 b'why is the go ##p bowing to him ?'
PRED SEQ:	 b'why is the go ##p bowing to him ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.12587425, 0.013774446, 0.005868047, 0.27923056, 0.2652654, 0.062113512, 9.630295e-05, 0.5025224, 0.02282263]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'is it illegal for cnn to produce propaganda to ou ##st former president donald trump during the 2020 presidential election ?'
GOLD SEQ: 	 b'is it illegal for cnn to produce propaganda to ou ##st former president donald trump during the 2020 presidential election ?'
PRED SEQ:	 b'is it illegal for cnn to produce to ou ##st former president donald trump during the 2020 presidential election ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [3.9597635e-05, 5.3628926e-05, 0.0018598718, 2.0334787e-06, 2.4297691e-05, 1.6983423e-06, 0.00039261067, 0.9929779, 5.038339e-06, 0.0008700006, 9.419403e-05, 3.0999756e-05, 2.4263247e-06, 1.2680794e-06, 1.1353156e-06, 2.4975782e-06, 1.2349713e-06, 4.8363213e-06, 2.626496e-06, 1.962318e-06, 8.18434e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"is it true that pe ##los ##i felt ' liberated ' after ripping up trump ' s 2020 state of the union speech ?"
GOLD SEQ: 	 b"is it true that pe ##los ##i felt ' liberated ' after ripping up trump ' s 2020 state of the union speech ?"
PRED SEQ:	 b"is it possible that pe ##los ##i felt ' liberated ' after up trump ' s 2020 state of the union speech ?"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.004502794, 0.0056831306, 0.48928013, 2.3772953e-05, 1.3989215e-05, 2.6040243e-05, 1.1093124e-05, 0.013570859, 1.800789e-05, 0.008989451, 1.0081937e-05, 5.59023e-05, 0.34502962, 0.004970328, 3.576867e-05, 5.7589664e-06, 9.360519e-06, 0.0011728168, 2.4039093e-05, 3.6264555e-06, 3.0675749e-06, 1.6214231e-05, 0.0006285066, 0.00018603675]
GOLD TOK: 	 []
PRED TOK: 	 [['possible']]
################################################################################
IN SEQ: 	 b'were there millions of improper ##ly cast mail in ballots in the 2020 presidential election ?'
GOLD SEQ: 	 b'were there millions of improper ##ly cast mail in ballots in the 2020 presidential election ?'
PRED SEQ:	 b'were there millions of cast mail in ballots in the 2020 presidential election ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.3805157e-05, 1.075148e-05, 1.3872267e-05, 1.5700422e-06, 0.9991166, 0.9995189, 3.7036841e-06, 7.496925e-06, 1.3595154e-06, 2.1603412e-06, 1.5669428e-06, 1.4382122e-06, 6.824666e-06, 5.0502886e-06, 2.3738469e-06, 7.1492673e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'president trump has said that kamal ##a harris is unlike ##able .'
GOLD SEQ: 	 b'president trump has said that kamal ##a harris is unlike ##able .'
PRED SEQ:	 b'president trump has said that kamal ##a harris harris ##a is unlike .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0047352524, 0.00018029322, 0.0006002277, 0.16816615, 0.0005646301, 0.00011457086, 4.4073502e-05, 2.4551533e-05, 0.29594442, 0.20573844, 0.22402969, 2.4688225e-05]
GOLD TOK: 	 []
PRED TOK: 	 [['harris', '##a']]
################################################################################
IN SEQ: 	 b'do you agree ?'
GOLD SEQ: 	 b'do you agree ?'
PRED SEQ:	 b'do you agree ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.1760177, 0.3995944, 0.2226911, 0.06471671]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what movie of 2020 - 2021 is a 10 out of 10 ?'
GOLD SEQ: 	 b'what movie of 2020 - 2021 is a 10 out of 10 ?'
PRED SEQ:	 b'what movie of 2020 - 2021 is a 10 out of 10 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.08759423, 0.07730316, 0.001303598, 0.0003925283, 0.0008111669, 0.0009982897, 0.1618074, 0.11455549, 0.0012100817, 0.00018215859, 3.4669512e-05, 0.00017854093, 0.25875396]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'do you agree with the do ##j and judges who say donald trump is still pushing the " big lie " that he won the presidential election could inspire more violence in the future ?'
GOLD SEQ: 	 b'do you agree with the do ##j and judges who say donald trump is still pushing the " big lie " that he won the presidential election could inspire more violence in the future ?'
PRED SEQ:	 b'do you agree with the do ##j and judges who say donald trump is still pushing the " big lie " that he won the presidential election could inspire more violence in the future ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.016558122, 0.1943013, 0.016978784, 8.52541e-05, 0.0036532572, 0.0036332947, 0.0066732448, 0.00018282155, 0.0017147795, 0.00034518077, 0.12545621, 0.00050158595, 4.974171e-05, 0.00400743, 0.07401324, 0.08140901, 0.004937683, 0.00014739281, 0.007059272, 0.015728818, 8.087835e-05, 0.0035128552, 0.045612838, 0.0050262976, 7.961476e-05, 0.00018203254, 0.00018351436, 0.033243783, 0.045643695, 0.031091545, 0.08091008, 9.316289e-05, 0.00010498103, 0.0022402562, 0.00042326454]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'how many times will the arizona republicans rec ##ount their 2020 ballots ?'
GOLD SEQ: 	 b'how many times will the arizona republicans rec ##ount their 2020 ballots ?'
PRED SEQ:	 b'how many times will the arizona republicans rec ##ount their 2020 ballots ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.2211919, 0.32100496, 0.0048644342, 0.05064396, 0.028239653, 0.008773405, 0.011440283, 0.024826838, 0.0008320449, 0.06298822, 0.006002145, 0.00049072725, 0.13456364]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'is it really so hard to believe that trump lost the popular vote in 2016 by 3 million votes and after 4 years of low approval ratings in 2020 another 4 million voters ( he lost by 7 million ) wanted him out ?'
GOLD SEQ: 	 b'is it really so hard to believe that trump lost the popular vote in 2016 by 3 million votes and after 4 years of low approval ratings in 2020 another 4 million voters ( he lost by 7 million ) wanted him out ?'
PRED SEQ:	 b'is it so hard to believe that trump lost the popular vote in 2016 by 3 million votes and after 4 years of low approval ratings in 2020 another 4 million voters ( he lost by 7 million ) wanted him out ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.025440276, 0.0003432303, 0.18865612, 0.010689279, 0.000575501, 6.7217894e-05, 0.0031311025, 0.00022192618, 0.003586265, 0.0034269923, 0.00012735161, 0.011610903, 3.1749947e-05, 5.7396566e-05, 0.00035173268, 0.00016706197, 0.0008768473, 0.00011146671, 0.00010617089, 0.00021897409, 0.00043293636, 0.0041846, 9.9450255e-05, 4.133942e-05, 0.1489578, 0.0015014153, 1.6624132e-05, 7.0183494e-05, 0.0008752004, 0.011950836, 0.00047685872, 4.139141e-05, 0.00095980265, 8.825569e-05, 0.1547624, 0.005423205, 6.29782e-05, 7.656376e-05, 6.9696485e-05, 0.00018419334, 0.13009165, 0.038985707, 0.036173243, 0.014355998]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"are the republicans in congress , who supported trump ' s ' stolen election ' lies , traitor ##s to our country ?"
GOLD SEQ: 	 b"are the republicans in congress , who supported trump ' s ' stolen election ' lies , traitor ##s to our country ?"
PRED SEQ:	 b"are the republicans in congress , who supported trump ' s ' stolen election ' , traitor ##s to our country ?"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00014429231, 0.0002441732, 0.00023542072, 4.840696e-06, 0.00020866033, 1.848811e-06, 4.7350142e-05, 0.00078388426, 1.8730087e-05, 4.6608143e-06, 2.1166812e-05, 5.761021e-06, 0.0003800338, 2.5033776e-06, 6.789222e-06, 0.8663, 0.00024105943, 0.00023550626, 0.000112302405, 2.3558564e-06, 9.735546e-05, 6.653705e-06, 1.5208116e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"do you think that president bid ##en ' s climate plan is practical ?"
GOLD SEQ: 	 b"do you think that president bid ##en ' s climate plan is practical ?"
PRED SEQ:	 b"do you think that president bid ##en ' s climate plan is practical ?"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.06995806, 0.19941531, 0.123419344, 0.002442218, 0.018711254, 0.00023799809, 7.4793075e-05, 4.8829555e-05, 0.0001154635, 0.00073101546, 0.0024300008, 0.08942468, 0.2929805, 0.001751502]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'why do so many americans ( at last count 80 % of republicans ) still believe the 2020 elections were rigged ?'
GOLD SEQ: 	 b'why do so many americans ( at last count 80 % of republicans ) still believe the 2020 elections were rigged ?'
PRED SEQ:	 b'why do so many americans ( at last count 80 % of republicans ) believe the 2020 elections were rigged ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.06766133, 0.0042437967, 0.006229204, 0.12756093, 0.09294564, 1.3910128e-05, 7.995118e-05, 0.002375279, 0.0036281403, 0.008503046, 7.362552e-05, 2.3701463e-05, 0.052202106, 1.2577883e-05, 0.36351842, 0.08787698, 3.393538e-05, 0.0005120573, 0.0002206394, 0.0048875907, 0.086513095, 0.006965184]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'if superman was re ##lat ##able , then who would he relate to back in the 2020 elections ?'
GOLD SEQ: 	 b'if superman was re ##lat ##able , then who would he relate to back in the 2020 elections ?'
PRED SEQ:	 b'if superman was said to be re ##lat ##able , then who would he relate to back in the 2020 elections ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.01752556, 0.026021572, 0.13028051, 0.6677178, 0.5635055, 0.60389596, 2.3061975e-05, 0.004124362, 0.00020469908, 0.00055890833, 0.008945228, 0.00083327637, 9.627397e-06, 0.07164719, 3.8110156e-05, 1.8438934e-05, 0.0005416462, 0.0006393318, 0.00035023718]
